leaid,ncessch,report_dis,report_race,report_sex,counselors_fte,psych_fte,law_fte
0400866,040086603356,0,0,0,0,0,0
0400867,040086703342,1,1,1,0,0,0
0400868,040086803332,0,0,0,0,1,0
0400870,040087000046,0,0,0,0,0,0
0400871,040087103310,0,0,0,0,1,0
0400872,040087203346,0,0,0,0,0,0
0400873,040087303353,0,0,0,0,0,0
0400875,040087503345,0,1,0,0,0,0
0400876,040087603352,0,0,0,0,0,0
0400877,040087703354,0,0,0,0,0,0
0400877,040087703522,0,0,0,0,0,0
0400878,040087803350,0,0,0,1,0,0
0400879,040087903400,0,0,0,0,0,0
0400880,040088003398,0,0,0,1,0,0
0400881,040088103394,0,0,1,0,0,0
0400882,040088203409,0,1,0,0,0,0
0400884,040088403264,0,0,0,1,0,1
0400885,040088503410,0,0,0,0,0,0
0400886,040088603407,0,1,0,0,0,0
0400887,040088703415,0,0,0,0,0,0
0400887,040088703561,0,0,0,0,0,0
0400888,040088803412,0,0,0,0,0,0
0400889,040088903459,0,0,0,0,0,0
0400890,040089003367,0,0,0,1,0,0
0400891,040089103399,0,0,0,0,0,0
0400892,040089203012,0,0,0,0,1,0
0400893,040089303382,0,0,0,0,0,0
0400894,040089403379,0,0,0,0,0,0
0400895,040089502450,1,0,0,1,0,0
0400897,040089703376,0,0,1,1,0,0
0400898,040089803393,0,0,0,1,0,0
0400899,040089903392,0,0,0,0,1,0
0400900,040090003404,0,0,0,1,0,0
0400902,040090203413,0,0,0,1,0,0
0400903,040090303418,0,0,0,1,0,0
0400904,040090403048,0,0,0,0,1,0
0400905,040090503419,0,0,0,0,0,0
0400907,040090703427,0,0,0,0,0,0
0400909,040090903461,0,0,0,1,1,0
0400910,040091000047,0,0,0,0,0,0
0400910,040091000048,0,0,0,0,0,0
0400910,040091001059,0,0,0,0,0,0
0400911,040091103440,0,0,0,0,0,0
0400912,040091203443,0,0,0,1,0,0
0400913,040091303455,0,0,0,0,0,0
0400913,040091303512,0,0,0,0,0,0
0400914,040091403452,0,0,0,0,0,0
0400915,040091503422,0,0,0,0,0,0
0400916,040091603437,0,0,0,0,0,0
0400918,040091803426,0,0,0,0,0,0
0400919,040091903472,0,1,1,0,0,0
0400921,040092103428,0,0,0,1,1,0
0400922,040092203458,0,0,0,0,0,0
0400924,040092403436,0,0,1,1,0,0
0400925,040092503464,1,1,0,0,0,0
0400926,040092603451,0,1,0,0,0,0
0400927,040092703190,0,0,0,0,1,0
0400929,040092903406,0,0,0,0,1,0
0400930,040093003462,0,1,0,0,0,0
0400933,040093303496,0,0,0,0,1,0
0400934,040093403493,0,0,0,0,1,0
0400936,040093603484,0,0,0,0,0,0
0400937,040093703482,0,0,0,0,0,0
0400938,040093803476,0,0,0,0,0,0
0400939,040093903495,0,1,0,0,0,0
0400940,040094003499,0,1,0,0,0,0
0400941,040094103502,0,1,1,0,0,0
0400942,040094203497,0,1,1,0,0,0
0400943,040094303498,0,0,0,0,0,0
0400944,040094403503,0,1,1,0,0,0
0400944,040094403504,0,0,0,0,0,0
0400944,040094403542,0,0,0,0,0,0
0400944,040094403547,0,0,0,0,0,0
0400945,040094503518,0,0,0,0,0,0
0400946,040094603375,0,0,0,1,0,0
0400947,040094703526,0,0,0,1,0,0
0400948,040094803523,0,0,0,0,1,0
0400949,040094903520,0,0,0,1,0,0
0400950,040095003508,0,0,0,0,0,0
0400951,040095103532,0,0,0,0,1,0
0400952,040095203514,0,0,0,0,0,0
0400953,040095303527,0,0,0,0,0,0
0400954,040095403513,0,0,0,0,1,0
0400955,040095503519,0,0,0,0,1,0
0400956,040095603505,0,0,0,0,0,0
0400958,040095803534,0,0,0,0,0,0
0400960,040096000049,0,0,0,1,0,0
0400960,040096000051,0,0,0,1,1,0
0400960,040096001154,0,0,0,1,0,0
0400960,040096001878,0,0,0,1,1,0
0400960,040096002255,0,0,0,1,0,0
0400960,040096002381,0,0,0,1,1,0
0400960,040096002494,0,0,0,1,1,0
0400960,040096002880,0,0,0,1,0,0
0400960,040096003387,0,0,0,1,1,0
0400961,040096103550,0,0,0,0,0,0
0400963,040096303558,0,0,0,0,0,0
0400964,040096403553,0,0,0,0,0,0
